epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9214.91,1.35597,1.68879,1.19153,0.53653,0.35472,0.37116,0.24996,1.29495,1.32905,1.13288,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,9494.44,1.35387,1.68492,1.18953,0.53015,0.3563,0.37162,0.25017,1.29453,1.32732,1.1322,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,9775.7,1.35238,1.68071,1.18951,0.53346,0.35851,0.37222,0.2505,1.29426,1.32576,1.13184,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,10066,1.35197,1.67859,1.18946,0.53678,0.35837,0.37298,0.25119,1.29399,1.32411,1.13122,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,271.776,1.33626,1.64705,1.18223,0.53067,0.35938,0.37331,0.25186,1.29216,1.32106,1.12995,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,548.019,1.34551,1.66454,1.18629,0.52764,0.36232,0.37424,0.25234,1.29189,1.31961,1.12953,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,825.275,1.34636,1.66623,1.18507,0.531,0.36165,0.37492,0.25289,1.29197,1.31781,1.12937,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1102.86,1.34774,1.66661,1.18614,0.53265,0.36068,0.37573,0.25357,1.29137,1.3162,1.12933,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1381.74,1.34513,1.66444,1.18573,0.54243,0.35871,0.37582,0.25379,1.29067,1.31482,1.12887,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1659.94,1.34416,1.65964,1.18414,0.54723,0.3562,0.37654,0.25415,1.2895,1.31392,1.12782,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
