epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11300.8,1.40113,0.84457,0.97461,0.70935,0.41044,0.45566,0.26271,1.28877,0.71211,0.93271,0.00955072,0.00955072,0.00955072
43,11569.5,1.39965,0.84466,0.97422,0.71102,0.41158,0.45607,0.26309,1.28826,0.71157,0.93246,0.00952889,0.00952889,0.00952889
44,11837.2,1.40215,0.84629,0.97449,0.7117,0.41242,0.45643,0.26314,1.28791,0.71113,0.93223,0.00950658,0.00950658,0.00950658
45,12105.1,1.4009,0.84433,0.97332,0.7085,0.4132,0.45658,0.2635,1.2876,0.71082,0.932,0.00948377,0.00948377,0.00948377
46,12372.9,1.39961,0.84241,0.97302,0.71038,0.41184,0.45696,0.26378,1.28745,0.71044,0.93186,0.00946048,0.00946048,0.00946048
47,12641.5,1.39874,0.84331,0.97298,0.71119,0.41157,0.45736,0.26405,1.28706,0.71,0.9315,0.00943671,0.00943671,0.00943671
48,12909.5,1.40016,0.84402,0.97271,0.71391,0.41033,0.45764,0.26435,1.28683,0.70959,0.93119,0.00941245,0.00941245,0.00941245
49,13177.3,1.39735,0.84079,0.97176,0.71025,0.41384,0.45818,0.26449,1.28652,0.70905,0.93093,0.00938772,0.00938772,0.00938772
50,13445.5,1.39752,0.84142,0.97198,0.71116,0.41377,0.45868,0.26471,1.28616,0.70862,0.93073,0.00936251,0.00936251,0.00936251
51,13712.9,1.39882,0.84247,0.97283,0.71464,0.41374,0.45906,0.2649,1.28585,0.70827,0.93049,0.00933683,0.00933683,0.00933683
52,13981,1.39864,0.84195,0.97303,0.71669,0.41293,0.45944,0.26504,1.28571,0.70789,0.93043,0.00931067,0.00931067,0.00931067
53,14250.8,1.39803,0.8401,0.97218,0.71345,0.41527,0.45981,0.26539,1.28557,0.70746,0.93033,0.00928405,0.00928405,0.00928405
54,14518.4,1.3971,0.8412,0.97302,0.71092,0.41811,0.46008,0.26565,1.28523,0.70686,0.9302,0.00925697,0.00925697,0.00925697
55,14786.1,1.39508,0.8397,0.97155,0.71174,0.41846,0.46053,0.26596,1.28482,0.70648,0.93002,0.00922942,0.00922942,0.00922942
56,15054,1.39589,0.83857,0.97145,0.71721,0.41588,0.46049,0.26613,1.28431,0.70589,0.92987,0.00920142,0.00920142,0.00920142
57,15321.5,1.39501,0.83891,0.97171,0.71986,0.41632,0.46082,0.26631,1.28402,0.70532,0.92967,0.00917296,0.00917296,0.00917296
58,15589.2,1.39487,0.83975,0.97145,0.72162,0.41488,0.46064,0.26659,1.28361,0.70501,0.9295,0.00914405,0.00914405,0.00914405
59,15857.4,1.39815,0.83973,0.97194,0.71888,0.41714,0.46159,0.2669,1.28327,0.70461,0.92928,0.00911469,0.00911469,0.00911469
60,16124.5,1.39337,0.8373,0.97078,0.7242,0.41475,0.46218,0.26723,1.28294,0.70421,0.92913,0.00908488,0.00908488,0.00908488
61,16394.3,1.39606,0.83869,0.97107,0.72036,0.41749,0.4622,0.26717,1.28291,0.70386,0.92895,0.00905463,0.00905463,0.00905463
62,16661.9,1.39242,0.83648,0.97104,0.71765,0.41915,0.46255,0.26724,1.28264,0.70361,0.92886,0.00902395,0.00902395,0.00902395
63,16929.8,1.39449,0.83772,0.96983,0.72153,0.41797,0.46288,0.2676,1.28235,0.70328,0.92877,0.00899282,0.00899282,0.00899282
64,17199.3,1.39078,0.83526,0.96965,0.72362,0.41643,0.46325,0.26788,1.28194,0.70298,0.9286,0.00896127,0.00896127,0.00896127
